Website Primary SKU,Website Variation SKU,Till SKU (8 digit),Name,Long Description,Colour/Style,Colour - for filtering,Dimensions  H x W x D (mm),Additional Search Keywords,Cost Price,Selling Price,Stock,VAT,Matches,Inactive,Weight,Category,Attributes,Sub Category,Category 2,Sub Category 2,Manufacturer,Gift Finder,,
10010,102,10010102,Semi Circle Pendant,Porcelain pendant. Individually made by hand. Decorated with glazes and precious metals in multiple firings. Porclain is very light and comfortable to wear. Supplied complete with a 45cm rubber cord with secure steel fastener. No two pieces are alike. A semi circle piece.,"Lime Glaze, Brown & Gold Lustre",Green,30 x 65,"Necklace, Jewellery, ",15,36,,S,,,31,Jewellery,Fashion/Art,Necklaces,,,Gill Laverick,For Her,,
10011,100,10011100,Fan Chunky Pendant,Porcelain pendant. Individually made by hand. Decorated with glazes and precious metals in multiple firings. Porclain is very light and comfortable to wear. Supplied complete with a 45cm rubber cord with secure steel fastener. No two pieces are alike. ,"Red Glaze, Brown & Gold Lustre",Red,42 x 35 x 13,"Necklace, Jewellery, ",20,48,,S,,,37,Jewellery,Fashion/Art,Necklaces,,,Gill Laverick,For Her,,
10011,101,10011101,Fan Chunky Pendant,Porcelain pendant. Individually made by hand. Decorated with glazes and precious metals in multiple firings. Porcelain is very light and comfortable to wear. Supplied complete with a 45cm rubber cord with secure steel fastener. No two pieces are alike. ,"Blue Glaze, Purple & Silver Lustre",Blue,42 x 35 x 13,"Necklace, Jewellery, ",20,48,,S,,,37,Jewellery,Fashion/Art,Necklaces,,,Gill Laverick,For Her,,
10011,102,10011102,Fan Chunky Pendant,Porcelain pendant. Individually made by hand. Decorated with glazes and precious metals in multiple firings. Porcelain is very light and comfortable to wear. Supplied complete with a 45cm rubber cord with secure steel fastener. No two pieces are alike. ,"Lime Glaze, Brown & Gold Lustre",Green,42 x 35 x 13,"Necklace, Jewellery, ",20,48,,S,,,37,Jewellery,Fashion/Art,Necklaces,,,Gill Laverick,For Her,,
10012,100,10012100,Crescent Chunky Pendant,Porcelain pendant. Individually made by hand. Decorated with glazes and precious metals in multiple firings. Porcelain is very light and comfortable to wear. Supplied complete with a 45cm rubber cord with secure steel fastener. No two pieces are alike. ,"Red Glaze, Brown & Gold Lustre",Red,25 x 48 x 13,"Necklace, Jewellery, ",20,48,,S,,,34,Jewellery,Fashion/Art,Necklaces,,,Gill Laverick,For Her,,
10012,101,10012101,Crescent Chunky Pendant,Porcelain pendant. Individually made by hand. Decorated with glazes and precious metals in multiple firings. Porcelain is very light and comfortable to wear. Supplied complete with a 45cm rubber cord with secure steel fastener. No two pieces are alike. ,"Blue Glaze, Purple & Silver Lustre",Blue,25 x 48 x 13,"Necklace, Jewellery, ",20,48,,S,,,34,Jewellery,Fashion/Art,Necklaces,,,Gill Laverick,For Her,,
10012,102,10012102,Crescent Chunky Pendant,Porcelain pendant. Individually made by hand. Decorated with glazes and precious metals in multiple firings. Porcelain is very light and comfortable to wear. Supplied complete with a 45cm rubber cord with secure steel fastener. No two pieces are alike. ,"Lime Glaze, Brown & Gold Lustre",Green,25 x 48 x 13,"Necklace, Jewellery, ",20,48,,S,,,34,Jewellery,Fashion/Art,Necklaces,,,Gill Laverick,For Her,,
10013,100,10013100,Square Drop Ear Rings,Porcelain Earrings. Individually made by hand. Decorated with glazes and precious metals in multiple firings. Porcelain is very light and comfortable to wear. No two pieces are identical.,"Red Glaze, Gold Lustre",Red,15 x 15,"Jewellery, Ear, Head",15,36,,S,,,16,Jewellery,Fashion/Art,Earrings Inc. studs,,,Gill Laverick,For Her,,
10013,101,10013101,Square Drop Ear Rings,Porcelain Earrings. Individually made by hand. Decorated with glazes and precious metals in multiple firings. Porcelain is very light and comfortable to wear. No two pieces are identical.,"Blue Glaze, Silver Lustre",Blue,15 x 15,"Jewellery, Ear, Head",15,36,,S,,,16,Jewellery,Fashion/Art,Earrings Inc. studs,,,Gill Laverick,For Her,,
10013,102,10013102,Square Drop Ear Rings,Porcelain Earrings. Individually made by hand. Decorated with glazes and precious metals in multiple firings. Porcelain is very light and comfortable to wear. No two pieces are identical.,"Lime Glaze, Gold Lustre",Green,15 x 15,"Jewellery, Ear, Head",15,36,,S,,,16,Jewellery,Fashion/Art,Earrings Inc. studs,,,Gill Laverick,For Her,,
10014,100,10014100,Rectangle Drop Ear Rings,Porcelain Earrings. Individually made by hand. Decorated with glazes and precious metals in multiple firings. Porcelain is very light and comfortable to wear. No two pieces are identical.,"Red Glaze, Gold Lustre",Red,45 x 15,"Jewellery, Ear, Head",15,36,,S,,,21,Jewellery,Fashion/Art,Earrings Inc. studs,,,Gill Laverick,For Her,,
10014,101,10014101,Rectangle Drop Ear Rings,Porcelain Earrings. Individually made by hand. Decorated with glazes and precious metals in multiple firings. Porcelain is very light and comfortable to wear. No two pieces are identical.,"Blue Glaze, Silver Lustre",Blue,46 x 15,"Jewellery, Ear, Head",15,36,,S,,,21,Jewellery,Fashion/Art,Earrings Inc. studs,,,Gill Laverick,For Her,,
10014,102,10014102,Rectangle Drop Ear Rings,Porcelain Earrings. Individually made by hand. Decorated with glazes and precious metals in multiple firings. Porcelain is very light and comfortable to wear. No two pieces are identical.,"Lime Glaze, Gold Lustre",Green,47 x 15,"Jewellery, Ear, Head",15,36,,S,,,21,Jewellery,Fashion/Art,Earrings Inc. studs,,,Gill Laverick,For Her,,
10015,100,10015100,Porcelain Cufflinks,Porcelain Cufflinks. Individually made by hand. Decorated with glazes and precious metals in multiple firings. Porcelain is very light and comfortable to wear. No two pieces are identical. Torpedo fittings.,"Red Glaze, Gold Lustre",Red,15 x 15,"Men, Man, Shirt, Tie, Studs",15,36,,S,,,36,Jewellery,Fashion/Art,Cufflinks,,,Gill Laverick,For Him,,
10015,101,10015101,Porcelain Cufflinks,Porcelain Cufflinks. Individually made by hand. Decorated with glazes and precious metals in multiple firings. Porcelain is very light and comfortable to wear. No two pieces are identical. Torpedo fittings.,"Blue Glaze, Silver Lustre",Blue,15 x 15,"Men, Man, Shirt, Tie, Studs",15,36,,S,,,36,Jewellery,Fashion/Art,Cufflinks,,,Gill Laverick,For Him,,
10015,102,10015102,Porcelain Cufflinks,Porcelain Cufflinks. Individually made by hand. Decorated with glazes and precious metals in multiple firings. Porcelain is very light and comfortable to wear. No two pieces are identical. Torpedo fittings.,"Lime Glaze, Gold Lustre",Green,15 x 15,"Men, Man, Shirt, Tie, Studs",15,36,,S,,,36,Jewellery,Fashion/Art,Cufflinks,,,Gill Laverick,For Him,,
10016,100,10016100,Baby's Unisex Bodysuit,Cupcake Bodysuit. 100% cotton. ,Blue,Blue,0 - 3 months,"Baby, Child, Newborn, Birth,Baby Girl, Baby Boy",4.99,9.99,,Zero,,,60,Baby/Child/Toys,,Clothing,,,Bluebird Creations,Baby,,
10016,101,10016101,Baby's Unisex Bodysuit,Cupcake Bodysuit. 100% cotton. ,Pink,Pink,0 - 3 months,"Baby, Child, Newborn, Birth,Baby Girl, Baby Boy",4.99,9.99,,Zero,,,60,Baby/Child/Toys,,Clothing,,,Bluebird Creations,Baby,,
10016,102,10016102,Baby's Unisex Bodysuit,Cupcake Bodysuit. 100% cotton. ,Lemon,Yellow,0 - 3 months,"Baby, Child, Newborn, Birth,Baby Girl, Baby Boy",4.99,9.99,,Zero,,,60,Baby/Child/Toys,,Clothing,,,Bluebird Creations,Baby,,
10017,100,10017100,Baby's Unisex Bodysuit,Cupcake Bodysuit. 100% cotton. ,Blue,Blue,3 - 6 months,"Baby, Child, Newborn, Birth,Baby Girl, Baby Boy",4.99,9.99,,Zero,,,60,Baby/Child/Toys,,Clothing,,,Bluebird Creations,Baby,,
10017,101,10017101,Baby's Unisex Bodysuit,Cupcake Bodysuit. 100% cotton. ,Pink,Pink,3 -6 months,"Baby, Child, Newborn, Birth,Baby Girl, Baby Boy",4.99,9.99,,Zero,,,60,Baby/Child/Toys,,Clothing,,,Bluebird Creations,Baby,,
10017,102,10017102,Baby's Unisex Bodysuit,Cupcake Bodysuit. 100% cotton. ,Lemon,Yellow,3 - 6 months,"Baby, Child, Newborn, Birth,Baby Girl, Baby Boy",4.99,9.99,,Zero,,,60,Baby/Child/Toys,,Clothing,,,Bluebird Creations,Baby,,
10018,100,10018100,6 x Boxed Socks,6 pairs of cotton socks presented in a pretty spotted box. ,Pink,Pink,0 - 3 months,"Baby, Child, Newborn, Birth,Baby Girl, Baby Boy",8.99,17.99,,Zero,,,130,Baby/Child/Toys,,Clothing,,,Bluebird Creations,Baby,,
10018,101,10018101,6 x Boxed Socks,6 pairs of cotton socks presented in a pretty spotted box. ,Pink,Pink,3 - 6 months,"Baby, Child, Newborn, Birth,Baby Girl, Baby Boy",8.99,17.99,,Zero,,,130,Baby/Child/Toys,,Clothing,,,Bluebird Creations,Baby,,
10019,100,10019100,6 x Boxed Socks,6 pairs of cotton socks presented in a pretty spotted box. ,Blue,Blue,0 - 3 months,"Baby, Child, Newborn, Birth,Baby Girl, Baby Boy",8.99,17.99,,Zero,,,130,Baby/Child/Toys,,Clothing,,,Bluebird Creations,Baby,,
10019,101,10019101,6 x Boxed Socks,6 pairs of cotton socks presented in a pretty spotted box. ,Blue,Blue,3 - 6 months,"Baby, Child, Newborn, Birth,Baby Girl, Baby Boy",8.99,17.99,,Zero,,,130,Baby/Child/Toys,,Clothing,,,Bluebird Creations,Baby,,
10020,100,10020100,Now & Then Boxed Cupcakes,6 beautiful short sleeved bodysuits. 3 for Now size 0-3 months. 3 for Then size 3-6 months. 100% cotton. Presented in a lovely gingham box.,Pink,Pink,Assorted,"Baby, Child, Newborn, Birth,Baby Girl, Baby Boy",14.99,29.99,,Zero,,,374,Baby/Child/Toys,,Clothing,,,Bluebird Creations,Baby,,
10020,101,10020101,Now & Then Boxed Cupcakes,6 beautiful short sleeved bodysuits. 3 for Now size 0-3 months. 3 for Then size 3-6 months. 100% cotton. Presented in a lovely gingham box.,Blue,Blue,Assorted,"Baby, Child, Newborn, Birth,Baby Girl, Baby Boy",14.99,29.99,,Zero,,,374,Baby/Child/Toys,,Clothing,,,Bluebird Creations,Baby,,
10021,100,10021100,Special Delivery,100% cotton all-in-one baby sleepsuit & matching hat presented in a lovely keepsake box for a baby girl.,Pink,Pink,Assorted,"Baby, Child, Newborn, Birth,Baby Girl, Baby Boy",8.99,17.99,,Zero,,,185,Baby/Child/Toys,,Clothing,,,Bluebird Creations,Baby,,
10021,101,10021101,Special Delivery,100% cotton all-in-one baby sleepsuit & matching hat presented in a lovely keepsake box for a baby boy.,Blue,Blue,Assorted,"Baby, Child, Newborn, Birth,Baby Girl, Baby Boy",8.99,17.99,,Zero,,,185,Baby/Child/Toys,,Clothing,,,Bluebird Creations,Baby,,
10022,100,10022100,Vintage 2 Pint Jug,Slip cast earthenware jug made and decorated in the traditional manner in Stoke on Trent. Capacity 2 pints/0.945 litres.,Buttons,Multi,178 x 160,"Pots, Pottery, Ceramics, Chintz, Flowers, Cast, Milk, Water, Juice, ",8.6,21,,S,,,750,Kitchen,,Preparation,,,Heron Cross Pottery,Unisex,,
10022,101,10022101,Vintage 2 Pint Jug,Slip cast earthenware jug made and decorated in the traditional manner in Stoke on Trent. Capacity 2 pints/0.945 litres.,Dragonfly,Multi,178 x 160,"Pots, Pottery, Ceramics, Chintz, Flowers, Cast, Milk, Water, Juice, ",8.6,21,,S,,,750,Kitchen,,Preparation,,,Heron Cross Pottery,Unisex,,
10022,102,10022102,Vintage 2 Pint Jug,Slip cast earthenware jug made and decorated in the traditional manner in Stoke on Trent. Capacity 2 pints/0.945 litres.,British Bird Blue,Blue,178 x 160,"Pots, Pottery, Ceramics, Chintz, Flowers, Cast, Milk, Water, Juice, ",8.6,21,,S,,,750,Kitchen,,Preparation,,,Heron Cross Pottery,Unisex,,
10022,103,10022103,Vintage 2 Pint Jug,Slip cast earthenware jug made and decorated in the traditional manner in Stoke on Trent. Capacity 2 pints/0.945 litres.,Blue Victorian,Blue,178 x 160,"Pots, Pottery, Ceramics, Chintz, Flowers, Cast, Milk, Water, Juice, ",8.6,21,,S,,,750,Kitchen,,Preparation,,,Heron Cross Pottery,Unisex,,
10022,104,10022104,Vintage 2 Pint Jug,Slip cast earthenware jug made and decorated in the traditional manner in Stoke on Trent. Capacity 2 pints/0.945 litres.,Summertime Pink,Pink,178 x 160,"Pots, Pottery, Ceramics, Chintz, Flowers, Cast, Milk, Water, Juice, ",8.6,21,,S,,,750,Kitchen,,Preparation,,,Heron Cross Pottery,Unisex,,
10022,105,10022105,Vintage 2 Pint Jug,Slip cast earthenware jug made and decorated in the traditional manner in Stoke on Trent. Capacity 2 pints/0.945 litres.,Woodstock,Multi,178 x 160,"Pots, Pottery, Ceramics, Chintz, Flowers, Cast, Milk, Water, Juice, ",8.6,21,,S,,,750,Kitchen,,Preparation,,,Heron Cross Pottery,Unisex,,
10022,106,10022106,Vintage 2 Pint Jug,Slip cast earthenware jug made and decorated in the traditional manner in Stoke on Trent. Capacity 2 pints/0.945 litres.,Blue Cats,Blue,178  x 160,"Pots, Pottery, Ceramics, Chintz, Flowers, Cast, Milk,Water, Juice, ",8.6,21,,S,,,750,Kitchen,,Preparation,,,Heron Cross Pottery,Unisex,,
10023,100,10023100,Vinatge 1 Pint Jug,Slip cast earthenware jug made and decorated in the traditional manner in Stoke on Trent. Capacity 1 pint/0.472 litres.,Buttons,Multi,140 x 120,"Pots, Pottery, Ceramics, Chintz, Flowers, Cast, Milk, Water, Juice, ",6.94,16.95,,S,,,475,Kitchen,,Preparation,,,Heron Cross Pottery,Unisex,,
10023,101,10023101,Vintage 1 Pint Jug,Slip cast earthenware jug made and decorated in the traditional manner in Stoke on Trent. Capacity 1 pint/0.472 litres.,Dragonfly,Multi,140 x 120,"Pots, Pottery, Ceramics, Chintz, Flowers, Cast, Milk, Water, Juice, ",6.94,16.95,,S,,,475,Kitchen,,Preparation,,,Heron Cross Pottery,Unisex,,
10023,102,10023102,Vintage 1 Pint Jug,Slip cast earthenware jug made and decorated in the traditional manner in Stoke on Trent. Capacity 1 pint/0.472 litres.,British Bird Blue,Blue,140 x 120,"Pots, Pottery, Ceramics, Chintz, Flowers, Cast, Milk, Water, Juice, ",6.94,16.95,,S,,,475,Kitchen,,Preparation,,,Heron Cross Pottery,Unisex,,
10023,103,10023103,Vintage 1 Pint Jug,Slip cast earthenware jug made and decorated in the traditional manner in Stoke on Trent. Capacity 1 pint/0.472 litres.,Blue Victorian,Blue,140 x 120,"Pots, Pottery, Ceramics, Chintz, Flowers, Cast, Milk, Water, Juice, ",6.94,16.95,,S,,,475,Kitchen,,Preparation,,,Heron Cross Pottery,Unisex,,
10023,104,10023104,Vintage 1 Pint Jug,Slip cast earthenware jug made and decorated in the traditional manner in Stoke on Trent. Capacity 1 pint/0.472 litres.,Summertime Pink,Pink,140 x 120,"Pots, Pottery, Ceramics, Chintz, Flowers, Cast, Milk, Water, Juice, ",6.94,16.95,,S,,,475,Kitchen,,Preparation,,,Heron Cross Pottery,Unisex,,
